"Date","CFS"
1990-01-01,327.818817204301
1990-02-01,260.6
1990-03-01,634.187462587296
1990-04-01,873.538236831861
1990-05-01,635.004265835857
1990-06-01,495.024684210526
1990-07-01,159.637634408602
1990-08-01,103.280913978495
1990-09-01,86.88775
1990-10-01,89.9147849462366
1990-11-01,94.3247222222222
1990-12-01,96.0343333333333
1991-01-01,93.7559139784946
1991-02-01,113.79494047619
1991-03-01,747.359677419355
1991-04-01,768.629710144928
1991-05-01,939.460483870968
1991-06-01,547.053055555556
1991-07-01,167.016397849462
1991-08-01,110.212365591398
1991-09-01,85.6857777777778
1991-10-01,101.216720430108
1991-11-01,121.883888888889
1991-12-01,123.982258064516
1992-01-01,128.57311827957
1992-02-01,490.735632183908
1992-03-01,515.148387096774
1992-04-01,782.604347826087
1992-05-01,334.630376344086
1992-06-01,135.911388888889
1992-07-01,97.7717741935484
1992-08-01,66.8865591397849
1992-09-01,60.7229122807018
1992-10-01,91.0099462365591
1992-11-01,122.418181818182
1992-12-01,243.50564516129
1993-01-01,842.193548387097
1993-02-01,669.049404761905
1993-03-01,1577.5873655914
1993-04-01,1367.08538647343
1993-05-01,2095.83333333333
1993-06-01,1393.34222222222
1993-07-01,379.643548387097
1993-08-01,187.407258064516
1993-09-01,136.084166666667
1993-10-01,147.672849462366
1993-11-01,132.223888888889
1993-12-01,218.547101449275
1994-01-01,183.067592592593
1994-02-01,272.108680555556
1994-03-01,506.639247311828
1994-04-01,609.605410628019
1994-05-01,620.819892473118
1994-06-01,201.511111111111
1994-07-01,103.616129032258
1994-08-01,75.8279761904762
1994-09-01,72.9547543859649
1994-10-01,118.563671679198
1994-12-01,188.635984848485
1995-01-01,2296.19607843137
1995-03-01,2374.92083333333
1995-04-01,1703.86859903382
1995-05-01,2845.54032258065
1995-06-01,2523.25277777778
1995-07-01,1026.38225806452
1995-08-01,284.412634408602
1995-09-01,178.005
1995-10-01,145.547580645161
1995-11-01,137.780277777778
1995-12-01,561.885215053764
1996-01-01,753.620430107527
1996-02-01,2185.55459770115
1996-03-01,1159.75806451613
1996-04-01,1508.63611111111
1996-05-01,2759.00268817204
1996-06-01,887.621944444445
1996-07-01,304.172849462366
1996-08-01,183.19435483871
1996-09-01,154.018611111111
1996-10-01,139.51935483871
1996-11-01,323.738055555556
1996-12-01,2362.72741935484
1997-01-01,1690.56746031746
1997-02-01,916.248936170213
1997-03-01,804.530107526882
1997-04-01,1154.03935990338
1997-05-01,1022.2063735692
1997-06-01,412.803055555556
1997-07-01,195.168338992643
1997-08-01,144.013709677419
1997-09-01,127.676111111111
1997-10-01,134.619892473118
1997-11-01,202.248611111111
1997-12-01,239.643817204301
1998-01-01,1144.22983870968
1998-02-01,1159.49226190476
1998-03-01,1324.05994623656
1998-04-01,1222.42115942029
1998-05-01,1918.36827956989
1998-06-01,2477.175
1998-07-01,850.890322580645
1998-08-01,265.661827956989
1998-09-01,202.896666666667
1998-10-01,176.268817204301
1998-11-01,393.333441947566
1998-12-01,546.72688172043
1999-01-01,943.355376344086
1999-02-01,1275.03005952381
1999-03-01,993.088709677419
1999-04-01,1018.54061594203
1999-05-01,1846.30913978495
1999-06-01,1240.69638888889
1999-07-01,337.172225051877
1999-08-01,189.781720430108
1999-09-01,146.526944444444
1999-10-01,145.137096774194
1999-11-01,176.658055555556
1999-12-01,164.535483870968
2000-01-01,646.318817204301
2000-02-01,1212.43213892629
2000-03-01,936.521505376344
2000-04-01,1304.24396135266
2000-05-01,1369.03858784893
2000-06-01,515.585555555556
2000-07-01,202.415322580645
2000-08-01,139.126612903226
2000-09-01,129.8875
2000-10-01,133.280107526882
2000-11-01,130.536388888889
2000-12-01,147.890322580645
2001-01-01,140.961290322581
2001-02-01,200.042261904762
2001-03-01,517.102150537634
2001-04-01,592.895869565217
2001-05-01,686.344623655914
2001-06-01,168.753611111111
2001-07-01,108.625268817204
2001-08-01,87.0224221844935
2001-09-01,81.7438888888889
2001-10-01,81.8916666666667
2001-11-01,173.251666666667
2001-12-01,364.192741935484
2002-01-01,593.143279569892
2002-02-01,448.006731713304
2002-03-01,651.837365591398
2002-04-01,1108.62130434783
2002-05-01,987.046505376344
2002-06-01,448.266944444445
2002-07-01,154.610819590205
2002-08-01,110.033602150538
2002-09-01,96.0586111111111
2002-10-01,88.7124564172958
2002-11-01,223.281616959064
2002-12-01,643.387548615877
2003-01-01,953.970117219954
2003-02-01,634.610745614035
2003-03-01,768.467592592593
2003-04-01,1007.82941492217
2003-05-01,1775.35752688172
2003-06-01,964.969722222222
2003-07-01,250.984139784946
2003-08-01,174.380107526882
2003-09-01,126.001987620545
2003-10-01,109.112769518467
2003-11-01,131.402777777778
2003-12-01,459.647311827957
2004-01-01,406.648655913978
2004-02-01,696.676724137931
2004-03-01,1043.86346399658
2004-04-01,1056.50109521993
2004-05-01,992.33064516129
2004-06-01,368.167777777778
2004-07-01,158.235752688172
2004-08-01,111.279838709677
2004-09-01,99.0494152046784
2004-10-01,136.353530506087
2004-11-01,138.433305213388
2004-12-01,261.291935483871
2005-01-01,430.821635526863
2005-02-01,470.409614389234
2005-03-01,849.898387096774
2005-04-01,987.058725845411
2005-05-01,2635.9811827957
2005-06-01,1131.155
2005-07-01,330.729301075269
2005-08-01,168.420342388229
2005-09-01,134.921388888889
2005-10-01,130.801774193548
2005-11-01,170.653140822486
2005-12-01,2158.57069892473
2006-01-01,1526.20350023847
2006-02-01,1131.40956790123
2006-03-01,1466.81802721088
2006-04-01,2288.16437198068
2006-05-01,2808.98924731183
2006-06-01,1148.04666666667
