Date,CMS
5/1/09,41.87190567
6/1/09,9.962309225
7/1/09,3.956321614
8/1/09,2.83598547
9/1/09,2.315866486
10/1/09,2.941181886
11/1/09,2.583254512
12/1/09,3.504500977
1/1/10,7.823067537
2/1/10,9.175078756
3/1/10,13.58824328
4/1/10,22.37925155
5/1/10,32.01858966
6/1/10,41.86415656
7/1/10,8.852594339
8/1/10,3.939368201
9/1/10,3.055598201
10/1/10,5.713468923
11/1/10,6.342171807
12/1/10,33.00834053
1/1/11,15.42881469
2/1/11,13.30809956
3/1/11,32.38804711
4/1/11,46.07809767
5/1/11,46.46418747
6/1/11,60.91677442
7/1/11,26.85447977
8/1/11,7.19977339
9/1/11,4.478190383
10/1/11,4.763207994
11/1/11,4.252997196
12/1/11,3.563913072
1/1/12,6.27853958
2/1/12,4.917522082
3/1/12,24.2337756
4/1/12,35.58188635
5/1/12,28.86272178
6/1/12,9.3789222
7/1/12,4.208665189
8/1/12,2.913149085
9/1/12,2.380762509
10/1/12,2.629964274
11/1/12,12.62969101
12/1/12,33.47230133
1/1/13,10.66445124
2/1/13,9.33864606
3/1/13,12.5633159
4/1/13,17.19078026
5/1/13,9.597510974
6/1/13,4.566280358
7/1/13,2.769507925
8/1/13,2.106631642
9/1/13,2.249325239
10/1/13,2.121664501
11/1/13,2.290176665
12/1/13,2.322007145
1/1/14,2.381032927
2/1/14,12.40903229
3/1/14,16.14045175
4/1/14,15.57330131
5/1/14,8.440027501
6/1/14,3.372320168
7/1/14,2.321674117
8/1/14,1.974464376
9/1/14,1.748503064
10/1/14,1.929767432
11/1/14,2.583583636
12/1/14,16.48150775
1/1/15,6.389670835
2/1/15,17.82204094
3/1/15,6.046306518
4/1/15,4.970238861
5/1/15,4.013619998
6/1/15,2.475512744
7/1/15,1.829279068
8/1/15,1.434651127
9/1/15,1.370936517
10/1/15,1.568222193
11/1/15,1.972804435
12/1/15,7.845934532
1/1/16,22.24860378
2/1/16,19.04524711
3/1/16,52.85084705
4/1/16,33.18698089
5/1/16,27.97639591
6/1/16,11.6316552
7/1/16,4.317294395
8/1/16,2.889512535
9/1/16,2.414356318
10/1/16,7.492517826
11/1/16,9.032853243
12/1/16,34.46954503
1/1/17,61.83033478
2/1/17,104.3574626
3/1/17,43.56135529
4/1/17,61.79387137
5/1/17,67.07339044
6/1/17,39.53711937
7/1/17,10.38984319
8/1/17,5.100648186
9/1/17,4.016604146
10/1/17,3.561108981
11/1/17,17.83768567
12/1/17,7.265126694
1/1/18,14.96023843
2/1/18,8.357074206
3/1/18,35.52998402
4/1/18,44.46804676
